campaign_id,creative_id,creative_url
1,814,catpictures.us/images/gallery/uploads/cat/catpicture-555.jpg
2,200,www.jpl.nasa.gov/opportunities/images/earth_sci.jpg
3,651,www.jpl.nasa.gov/images/dawn/20150825/pia19631-16.jpg
4,896,catpictures.us/images/gallery/uploads/cat/catpicture-581.jpg
5,336,catpictures.us/images/gallery/uploads_big/cat/catpicture-543.jpg
6,243,catpictures.us/images/gallery/uploads/cat/catpicture-520.jpg
7,434,www.jpl.nasa.gov/spaceimages/images/wallpaper/PIA19653-640x350.jpg
8,724,www.jpl.nasa.gov/edu/images/news/habitable_worlds.jpg
9,798,www.jpl.nasa.gov/edu/images/home/intern.jpg
10,865,www.jpl.nasa.gov/spaceimages/images/wallpaper/PIA19634-640x350.jpg
11,380,catpictures.us/images/gallery/uploads/cat/catpicture-543.jpg
12,899,catpictures.us/images/gallery/uploads_big/cat/catpicture-574.jpg
13,210,www.jpl.nasa.gov/edu/images/home/news.jpg
14,694,www.jpl.nasa.gov/spaceimages/images/wallpaper/PIA19628-640x350.jpg
15,256,catpictures.us/images/gallery/uploads_big/cat/catpicture-571.jpg
16,775,catpictures.us/images/gallery/uploads_big/cat/catpicture-555.jpg
17,826,www.jpl.nasa.gov/events/lectures/images/2015/juno20150225.jpg
18,151,catpictures.us/images/gallery/uploads_big/cat/catpicture-577.jpg
19,738,www.jpl.nasa.gov/edu/images/home/learn.jpg
20,983,catpictures.us/images/gallery/uploads_big/cat/catpicture-491.jpg
21,926,www.jpl.nasa.gov/spaceimages/images/wallpaper/PIA19881-640x350.jpg
22,129,www.jpl.nasa.gov/events/lectures/images/2015/dawn.jpg
23,166,www.jpl.nasa.gov/edu/images/home/share.jpg
24,791,www.jpl.nasa.gov/edu/images/news/452b_system_comparison.jpg
25,838,catpictures.us/images/gallery/uploads_big/cat/catpicture-532.jpg
26,985,catpictures.us/images/gallery/uploads_big/cat/catpicture-514.jpg
27,478,catpictures.us/images/gallery/uploads/cat/catpicture-553.jpg
28,618,www.jpl.nasa.gov/spaceimages/images/wallpaper/PIA19759-640x350.jpg
29,992,www.jpl.nasa.gov/spaceimages/images/wallpaper/PIA15151-640x350.jpg
30,62,www.jpl.nasa.gov/edu/images/intern/internvideo_poster.jpg
31,292,http://techcrunch.com/2015/08/31/ashley-madison-refutes-claims-that-its-site-was-populated-with-fake-female-accounts/
32,74,www.jpl.nasa.gov/opportunities/images/explorer1.jpg
33,525,catpictures.us/images/gallery/uploads_big/cat/catpicture-593.jpg
34,670,www.jpl.nasa.gov/assets/images/content/tmp/images/nasa_images(3x1).jpg
35,488,catpictures.us/images/gallery/uploads_big/cat/catpicture-572.jpg
36,399,http://techcrunch.com/2015/08/31/aol-acquires-kanvas-labs/
37,208,catpictures.us/images/gallery/uploads/cat/catpicture-523.jpg
38,420,catpictures.us/images/gallery/uploads_big/cat/catpicture-525.jpg
39,868,catpictures.us/images/gallery/uploads/cat/catpicture-574.jpg
40,332,catpictures.us/images/gallery/uploads_big/cat/catpicture-578.jpg
41,373,catpictures.us/images/gallery/uploads/cat/catpicture-519.jpg
42,607,catpictures.us/images/gallery/uploads/cat/catpicture-518.jpg
43,61,catpictures.us/images/gallery/uploads/cat/catpicture-576.jpg
44,111,www.jpl.nasa.gov/spaceimages/images/wallpaper/PIA19758-640x350.jpg
45,114,www.jpl.nasa.gov/spaceimages/images/wallpaper/PIA19633-640x350.jpg
46,253,catpictures.us/images/gallery/uploads/cat/catpicture-571.jpg
47,197,catpictures.us/images/gallery/uploads_big/cat/catpicture-531.jpg
48,1000,catpictures.us/images/gallery/uploads/cat/catpicture-522.jpg
49,589,www.jpl.nasa.gov/events/lectures/images/2015/birth.jpg
50,614,www.jpl.nasa.gov/images/earth/ocean/20150826d/sealevel20150826-16.jpg
51,590,catpictures.us/images/gallery/uploads/cat/catpicture-525.jpg
52,842,catpictures.us/images/gallery/uploads_big/cat/catpicture-581.jpg
53,214,catpictures.us/images/gallery/uploads/cat/catpicture-514.jpg
54,391,www.jpl.nasa.gov/edu/images/intern/join_leaders.jpg
55,873,catpictures.us/images/gallery/uploads/cat/catpicture-592.jpg
56,697,www.jpl.nasa.gov/images/jason/20150826/sea-odonnell-16.jpg
57,439,www.jpl.nasa.gov/spaceimages/images/wallpaper/PIA17200-640x350.jpg
58,816,www.jpl.nasa.gov/spaceimages/images/wallpaper/PIA18328-640x350.jpg
59,305,catpictures.us/images/gallery/uploads_big/cat/catpicture-588.jpg
60,461,www.jpl.nasa.gov/education/images/640x350/crater_diy-640.jpg
61,96,catpictures.us/images/gallery/uploads_big/cat/catpicture-591.jpg
62,173,catpictures.us/images/gallery/uploads/cat/catpicture-579.jpg
63,479,catpictures.us/images/gallery/uploads/cat/catpicture-593.jpg
64,842,catpictures.us/images/gallery/uploads_big/cat/catpicture-584.jpg
65,165,catpictures.us/images/gallery/uploads/cat/catpicture-572.jpg
66,208,www.jpl.nasa.gov/edu/images/news/authors/orr.jpg
67,303,www.jpl.nasa.gov/assets/images/content/tmp/home/swot.jpg
68,355,www.jpl.nasa.gov/spaceimages/images/wallpaper/PIA19632-640x350.jpg
69,686,www.jpl.nasa.gov/edu/images/home/events.jpg
70,772,catpictures.us/images/gallery/uploads_big/cat/catpicture-516.jpg
71,69,www.jpl.nasa.gov/spaceimages/images/wallpaper/PIA19756-640x350.jpg
72,836,catpictures.us/images/gallery/uploads_big/cat/catpicture-517.jpg
73,500,www.jpl.nasa.gov/spaceimages/images/wallpaper/PIA19651-640x350.jpg
74,43,www.jpl.nasa.gov/spaceimages/images/wallpaper/PIA13385-1920x1200.jpg
75,521,www.jpl.nasa.gov/education/images/full/sciencefair-20150415.jpg
76,366,catpictures.us/images/gallery/uploads/cat/catpicture-588.jpg
77,633,catpictures.us/images/gallery/uploads/cat/catpicture-580.jpg
78,532,www.jpl.nasa.gov/images/spitzer/20150820/spitzer20150820-home.jpg
79,32,www.jpl.nasa.gov/assets/images/content/tmp/home/explorer1.jpg
80,194,catpictures.us/images/gallery/uploads/cat/catpicture-585.jpg
81,861,catpictures.us/images/gallery/uploads_big/cat/catpicture-585.jpg
82,635,catpictures.us/images/gallery/uploads_big/cat/catpicture-518.jpg
83,840,www.jpl.nasa.gov/assets/images/content/tmp/images/jpl_photojournal(3x1).jpg
84,159,catpictures.us/images/gallery/uploads_big/cat/catpicture-586.jpg
85,599,catpictures.us/images/gallery/uploads/cat/catpicture-589.jpg
86,346,www.jpl.nasa.gov/education/images/640x350/rockets2-640.jpg
87,759,catpictures.us/images/gallery/uploads/cat/catpicture-586.jpg
88,716,catpictures.us/images/gallery/uploads_big/cat/catpicture-592.jpg
89,736,www.jpl.nasa.gov/assets/images/content/tmp/home/msl.jpg
90,192,catpictures.us/images/gallery/uploads/cat/catpicture-517.jpg
91,149,www.jpl.nasa.gov/spaceimages/images/wallpaper/PIA19762-640x350.jpg
92,62,www.jpl.nasa.gov/spaceimages/images/wallpaper/PIA18284-1920x1200.jpg
93,335,www.jpl.nasa.gov/edu/images/resources/titan_poster.jpg
94,640,catpictures.us/images/gallery/uploads_big/cat/catpicture-580.jpg
